iter	Passed	Remaining
797	1342	8752
798	1344	8749
799	1345	8746
800	1347	8744
801	1348	8741
802	1350	8738
803	1351	8736
804	1353	8734
805	1355	8732
806	1356	8730
807	1358	8728
808	1359	8725
809	1361	8724
810	1363	8722
811	1364	8720
812	1366	8717
813	1367	8715
814	1369	8713
815	1371	8710
816	1372	8708
817	1374	8706
818	1375	8704
819	1377	8701
820	1379	8699
821	1380	8697
822	1382	8695
823	1383	8692
824	1385	8691
825	1387	8689
826	1388	8686
827	1390	8684
828	1392	8683
829	1393	8681
830	1395	8679
831	1396	8676
832	1398	8674
833	1400	8671
834	1401	8669
835	1403	8667
836	1404	8665
837	1406	8663
838	1407	8660
839	1409	8658
840	1411	8656
841	1412	8654
842	1414	8652
843	1415	8649
844	1417	8647
845	1419	8645
846	1420	8642
847	1422	8640
848	1423	8638
849	1425	8636
850	1427	8635
851	1428	8633
852	1430	8631
853	1432	8629
854	1433	8626
855	1435	8624
856	1436	8622
857	1438	8620
858	1439	8618
859	1441	8615
860	1443	8613
861	1444	8611
862	1446	8609
863	1447	8606
864	1449	8604
865	1451	8602
866	1452	8600
867	1454	8597
868	1455	8595
869	1457	8594
870	1459	8591
871	1460	8589
872	1462	8587
873	1463	8585
874	1465	8584
875	1467	8582
876	1468	8579
877	1470	8577
878	1471	8575
879	1473	8573
880	1475	8571
881	1476	8568
882	1478	8566
883	1480	8566
884	1481	8564
885	1483	8561
886	1484	8559
887	1486	8557
888	1488	8556
889	1489	8553
890	1491	8551
891	1492	8548
892	1494	8546
893	1495	8544
894	1497	8542
895	1499	8540
896	1500	8537
897	1502	8535
898	1503	8533
899	1505	8530
900	1506	8528
901	1508	8525
902	1510	8523
903	1511	8521
904	1513	8518
905	1514	8516
906	1516	8516
907	1518	8516
908	1520	8514
909	1521	8512
910	1523	8509
911	1524	8507
912	1527	8511
913	1529	8509
914	1530	8507
915	1532	8505
916	1534	8506
917	1536	8504
918	1537	8502
919	1539	8500
920	1540	8497
921	1542	8495
922	1544	8493
923	1545	8491
924	1547	8489
925	1548	8486
926	1550	8484
927	1553	8492
928	1555	8491
929	1557	8489
930	1558	8487
931	1560	8485
932	1561	8482
933	1563	8480
934	1565	8478
935	1566	8476
936	1568	8474
937	1569	8471
938	1571	8469
939	1573	8470
940	1575	8468
941	1576	8466
942	1578	8463
943	1579	8461
944	1581	8459
945	1583	8457
946	1584	8454
947	1586	8453
948	1587	8451
949	1589	8449
950	1591	8447
951	1592	8444
952	1594	8441
953	1595	8439
954	1597	8436
955	1598	8434
956	1600	8432
957	1601	8429
958	1603	8427
959	1604	8425
960	1606	8423
961	1608	8421
962	1609	8418
963	1611	8416
964	1612	8414
965	1614	8412
966	1615	8410
967	1617	8408
968	1619	8410
969	1621	8408
970	1623	8406
971	1624	8404
972	1626	8402
973	1627	8400
974	1629	8398
975	1631	8396
976	1632	8394
977	1634	8392
978	1635	8390
979	1637	8388
980	1639	8385
981	1640	8383
982	1642	8381
983	1643	8379
984	1645	8376
985	1646	8374
986	1648	8372
987	1650	8371
988	1651	8369
989	1653	8367
990	1654	8365
991	1656	8362
992	1658	8360
993	1659	8359
994	1661	8356
995	1662	8354
996	1664	8352
997	1666	8350
998	1667	8348
999	1669	8346
1000	1670	8344
1001	1672	8342
1002	1673	8339
1003	1675	8337
1004	1677	8335
1005	1678	8333
1006	1680	8331
1007	1681	8329
1008	1683	8327
1009	1685	8325
1010	1686	8323
1011	1688	8321
1012	1689	8319
1013	1691	8317
1014	1693	8315
1015	1694	8313
1016	1696	8311
1017	1697	8309
1018	1699	8307
1019	1701	8305
1020	1702	8303
1021	1704	8300
1022	1705	8298
1023	1707	8296
1024	1709	8295
1025	1710	8292
1026	1712	8290
1027	1713	8288
1028	1715	8286
1029	1716	8284
1030	1718	8281
1031	1720	8281
1032	1721	8279
1033	1723	8277
1034	1725	8275
1035	1726	8273
1036	1728	8271
1037	1729	8268
1038	1731	8266
1039	1732	8264
1040	1734	8262
1041	1735	8260
1042	1737	8257
1043	1739	8255
1044	1740	8253
1045	1742	8251
1046	1743	8249
1047	1745	8247
1048	1747	8245
1049	1748	8243
1050	1750	8241
1051	1751	8239
1052	1753	8236
1053	1754	8234
1054	1756	8232
1055	1757	8230
1056	1759	8228
1057	1761	8226
1058	1762	8224
1059	1764	8222
1060	1765	8219
1061	1767	8217
1062	1768	8215
1063	1770	8213
1064	1772	8211
1065	1773	8209
1066	1775	8207
1067	1776	8205
